"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript JSX", "TypeScript JSX", "Markdown", "HTML", "PostCSS", "comment", "blank", "total"
"d:\websites and web apps\JU_CONNECTs\src\hooks\usePrivateMessages.ts", "TypeScript", 0, 0, 220, 0, 0, 0, 0, 0, 31, 45, 296
"d:\websites and web apps\JU_CONNECTs\src\hooks\useRealtime.ts", "TypeScript", 0, 0, 514, 0, 0, 0, 0, 0, 41, 57, 612
"d:\websites and web apps\JU_CONNECTs\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 312, 44, 85, 441
"d:\websites and web apps\JU_CONNECTs\src\lib\supabase.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 7, 14, 84
"d:\websites and web apps\JU_CONNECTs\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 5, 17
"d:\websites and web apps\JU_CONNECTs\src\pages\AdminPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 6, 7, 67
"d:\websites and web apps\JU_CONNECTs\src\pages\AuthPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"d:\websites and web apps\JU_CONNECTs\src\pages\CategoriesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 209, 0, 0, 0, 5, 18, 232
"d:\websites and web apps\JU_CONNECTs\src\pages\ChatPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\websites and web apps\JU_CONNECTs\src\pages\ContactUsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 298, 0, 0, 0, 8, 21, 327
"d:\websites and web apps\JU_CONNECTs\src\pages\GroupsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 3, 8, 71
"d:\websites and web apps\JU_CONNECTs\src\pages\HelpCenterPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 126, 0, 0, 0, 3, 7, 136
"d:\websites and web apps\JU_CONNECTs\src\pages\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 623, 0, 0, 0, 27, 59, 709
"d:\websites and web apps\JU_CONNECTs\src\pages\MyRequestsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 402, 0, 0, 0, 7, 29, 438
"d:\websites and web apps\JU_CONNECTs\src\pages\PrivacyPolicyPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 191, 0, 0, 0, 13, 14, 218
"d:\websites and web apps\JU_CONNECTs\src\pages\TermsOfServicePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 244, 0, 0, 0, 15, 20, 279
"d:\websites and web apps\JU_CONNECTs\src\pages\UploadPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"d:\websites and web apps\JU_CONNECTs\src\pages\UserProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 386, 0, 0, 0, 10, 38, 434
"d:\websites and web apps\JU_CONNECTs\src\services\authService.ts", "TypeScript", 0, 0, 148, 0, 0, 0, 0, 0, 8, 27, 183
"d:\websites and web apps\JU_CONNECTs\src\services\categoryService.ts", "TypeScript", 0, 0, 155, 0, 0, 0, 0, 0, 4, 32, 191
"d:\websites and web apps\JU_CONNECTs\src\services\chatService.ts", "TypeScript", 0, 0, 176, 0, 0, 0, 0, 0, 2, 19, 197
"d:\websites and web apps\JU_CONNECTs\src\services\classGroupService.ts", "TypeScript", 0, 0, 764, 0, 0, 0, 0, 0, 53, 140, 957
"d:\websites and web apps\JU_CONNECTs\src\services\contentService.ts", "TypeScript", 0, 0, 216, 0, 0, 0, 0, 0, 3, 30, 249
"d:\websites and web apps\JU_CONNECTs\src\services\enhancedRealtimeService.ts", "TypeScript", 0, 0, 475, 0, 0, 0, 0, 0, 76, 66, 617
"d:\websites and web apps\JU_CONNECTs\src\services\enhancedServices.ts", "TypeScript", 0, 0, 385, 0, 0, 0, 0, 0, 27, 59, 471
"d:\websites and web apps\JU_CONNECTs\src\services\fileUploadService.ts", "TypeScript", 0, 0, 277, 0, 0, 0, 0, 0, 45, 52, 374
"d:\websites and web apps\JU_CONNECTs\src\services\groupFileService.ts", "TypeScript", 0, 0, 240, 0, 0, 0, 0, 0, 30, 55, 325
"d:\websites and web apps\JU_CONNECTs\src\services\privateMessageService.ts", "TypeScript", 0, 0, 353, 0, 0, 0, 0, 0, 21, 49, 423
"d:\websites and web apps\JU_CONNECTs\src\services\realtimeService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\websites and web apps\JU_CONNECTs\src\services\reportingService.ts", "TypeScript", 0, 0, 308, 0, 0, 0, 0, 0, 16, 41, 365
"d:\websites and web apps\JU_CONNECTs\src\services\secureFileService.ts", "TypeScript", 0, 0, 137, 0, 0, 0, 0, 0, 35, 31, 203
"d:\websites and web apps\JU_CONNECTs\src\services\securityService.ts", "TypeScript", 0, 0, 222, 0, 0, 0, 0, 0, 33, 39, 294
"d:\websites and web apps\JU_CONNECTs\src\services\updateRequestService.ts", "TypeScript", 0, 0, 131, 0, 0, 0, 0, 0, 0, 17, 148
"d:\websites and web apps\JU_CONNECTs\src\services\userService.ts", "TypeScript", 0, 0, 137, 0, 0, 0, 0, 0, 5, 24, 166
"d:\websites and web apps\JU_CONNECTs\src\types\database.types.ts", "TypeScript", 0, 0, 557, 0, 0, 0, 0, 0, 0, 2, 559
"d:\websites and web apps\JU_CONNECTs\src\types\enhanced-schema.types.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 2, 8, 96
"d:\websites and web apps\JU_CONNECTs\src\utils\apiCache.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 12, 21, 125
"d:\websites and web apps\JU_CONNECTs\src\utils\apiTracker.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 10, 15, 76
"d:\websites and web apps\JU_CONNECTs\src\utils\appState.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 4, 14, 71
"d:\websites and web apps\JU_CONNECTs\src\utils\circuitBreaker.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 12, 18, 95
"d:\websites and web apps\JU_CONNECTs\src\utils\cn.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\websites and web apps\JU_CONNECTs\src\utils\databaseDiagnostic.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 1, 15, 95
"d:\websites and web apps\JU_CONNECTs\src\utils\emergencyShutdown.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 10, 14, 66
"d:\websites and web apps\JU_CONNECTs\src\utils\env.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 5, 9, 40
"d:\websites and web apps\JU_CONNECTs\src\utils\errorHandling.ts", "TypeScript", 0, 0, 297, 0, 0, 0, 0, 0, 44, 40, 381
"d:\websites and web apps\JU_CONNECTs\src\utils\healthCheck.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 7, 15, 95
"d:\websites and web apps\JU_CONNECTs\src\utils\initGuard.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 7, 10, 60
"d:\websites and web apps\JU_CONNECTs\src\utils\logger.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 6, 8, 39
"d:\websites and web apps\JU_CONNECTs\src\utils\performance.ts", "TypeScript", 0, 0, 135, 0, 0, 0, 0, 0, 19, 32, 186
"d:\websites and web apps\JU_CONNECTs\src\utils\requestDeduplicator.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 15, 19, 108
"d:\websites and web apps\JU_CONNECTs\src\utils\safeguards.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 12, 11, 70
"d:\websites and web apps\JU_CONNECTs\src\utils\serviceGuards.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 18, 11, 84
"d:\websites and web apps\JU_CONNECTs\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\websites and web apps\JU_CONNECTs\tailwind.config.js", "JavaScript JSX", 0, 0, 0, 190, 0, 0, 0, 0, 1, 0, 191
"d:\websites and web apps\JU_CONNECTs\tsconfig.app.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\websites and web apps\JU_CONNECTs\tsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\websites and web apps\JU_CONNECTs\tsconfig.node.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"d:\websites and web apps\JU_CONNECTs\vite.config.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 3, 2, 33
"Total", "-", 7, 84, 6754, 227, 10600, 341, 31, 312, 1161, 2370, 21887
